n_periods_jul,total_return_pct_jul,cagr_pct_jul,sharpe_jul,max_drawdown_pct_jul,win_rate_pct_jul,avg_period_ret_bps_jul,signal,n,direction,side,n_periods_aug,total_return_pct_aug,cagr_pct_aug,sharpe_aug,max_drawdown_pct_aug,win_rate_pct_aug,avg_period_ret_bps_aug,combo_sharpe
206,-10.739178848657616,-74.84611615242159,-1.387489223824197,-16.51515094496091,50.48543689320388,-4.29062486734696,chg_1w,20,reversion,long_short,195,-10.198388423833949,-73.68156592393885,-2.082782151643685,-22.597635002262738,44.61538461538462,-4.8590006789622935,-2.082782151643685
206,-20.588746359475184,-93.92257084222491,-1.909337424289355,-42.385476664562226,45.14563106796117,-8.703476263389387,chg_1m,20,momentum,long_only,195,-19.00337991627954,-92.68722864960486,-2.1163864017678358,-32.276488071162845,46.666666666666664,-8.75160334722687,-2.1163864017678358
206,14.878257855259047,439.2594043292264,2.432180649611412,-15.8806056910886,55.8252427184466,8.19343069451615,chg_1w,30,reversion,short_only,195,-16.0593827782633,-88.61059674077619,-2.1903786327002055,-27.113111832275973,46.15384615384615,-7.546695690940736,-2.1903786327002055
206,-13.209586672422358,-82.11347997755661,-1.8462803708645357,-26.572620839362994,45.63106796116505,-5.709375132653045,chg_1w,20,momentum,long_short,195,-10.69060494424512,-75.4168352805532,-2.2036592161490294,-16.519655266814105,52.307692307692314,-5.140999321037713,-2.2036592161490294
206,2.4471754728152106,34.14016158622364,0.7822989833129851,-15.09446615230866,55.8252427184466,2.018579059414857,chg_5m,15,momentum,long_short,195,-9.8861262126271,-72.52306098280253,-2.2121238004551254,-15.851831003349604,48.205128205128204,-4.774751419289196,-2.2121238004551254
206,6.037079151084468,103.83222368144307,1.2347965457552177,-19.698077266360905,53.883495145631066,5.023224140004678,chg_15m,20,momentum,short_only,195,-15.264007418168735,-87.1964902425946,-2.257068447133423,-25.244278541815635,50.256410256410255,-7.249788429819396,-2.257068447133423
206,-28.06354434737015,-98.17127097468538,-2.2776394607175634,-34.68673184602952,46.601941747572816,-12.16924668926731,chg_24h,10,reversion,long_short,195,51.82714991364754,17704.552991518805,5.983106023849092,-21.31679102089903,54.35897435897436,23.254765603684387,-2.2776394607175634
206,-2.7109394655336905,-28.38632603329637,0.08527840079647175,-20.345596390730215,51.94174757281553,0.308514808595568,chg_1w,30,momentum,short_only,195,-10.93184835564025,-76.22832589207603,-2.3195959381680096,-18.881274313752627,48.717948717948715,-5.305700536411167,-2.3195959381680096
206,-32.27775643048815,-99.12169697717144,-2.352864187960654,-38.553112681717195,47.0873786407767,-13.999686422421945,chg_1m,15,reversion,short_only,195,5.36732474605266,91.32818273438814,1.1426478748868134,-35.95925377483194,54.35897435897436,5.597324842868948,-2.352864187960654
206,-20.108022320465523,-93.46022952085356,-2.356506838056474,-31.120199698077545,49.029126213592235,-9.055101686803289,chg_5m,15,momentum,long_only,195,-16.070880774142427,-88.62994226064434,-2.2317334193329117,-31.86449065761555,47.69230769230769,-7.587569712918423,-2.356506838056474
